vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t15.din
# Set: 0, Way: 1, MESI: S, Tag: 002
# Set: 0, Way: 2, MESI: E, Tag: 004
# Set: 0, Way: 3, MESI: E, Tag: 006
# Set: 0, Way: 4, MESI: S, Tag: 008
# Set: 0, Way: 5, MESI: S, Tag: 00a
# Set: 0, Way: 6, MESI: E, Tag: 00c
# Set: 0, Way: 7, MESI: E, Tag: 00e
# Snooped invalidate command, Address: 00200003
# 
# inside function way_idx = 1
# Cache Hit, address present
# SnoopResult: Address 00200000, SnoopResult: HIT
# Current St: S, Next St: I
# Set: 0, Way: 0, MESI: S, Tag: 000
# Set: 0, Way: 2, MESI: E, Tag: 004
# Set: 0, Way: 3, MESI: E, Tag: 006
# Set: 0, Way: 4, MESI: S, Tag: 008
# Set: 0, Way: 5, MESI: S, Tag: 00a
# Set: 0, Way: 6, MESI: E, Tag: 00c
# Set: 0, Way: 7, MESI: E, Tag: 00e
# Read request from L1 data cache, Address: 01000000 
# 
# Cache miss for address 01000000
# Cache hit is  = 0, cache_misses is = 9, way_idx = 0 
# MESI state before entering function is = 0
# Found Invalid MESI state in Way: 1
# Busop: READ, Address: 01000000, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           1 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01000000
# Set: 0, Way: 0, MESI: S, Tag: 000
# Set: 0, Way: 1, MESI: S, Tag: 010
# Set: 0, Way: 2, MESI: E, Tag: 004
# Set: 0, Way: 3, MESI: E, Tag: 006
# Set: 0, Way: 4, MESI: S, Tag: 008
# Set: 0, Way: 5, MESI: S, Tag: 00a
# Set: 0, Way: 6, MESI: E, Tag: 00c
# Set: 0, Way: 7, MESI: E, Tag: 00e
# No. of cache reads = 9
# No. of cache writes = 0
# No. of cache hits = 0
# No. of cache misses = 9
# Cache hit ratio = 0.000000 
# Cache hit ratio = 0.000000 
