vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t3.din
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 0
# Busop: READ, Address: 00800044, Snoop Result: HIT
# L2: SENDLINE 00800040
# Read request from L1 instruction cache, Address: 00a00045
# 
# Cache miss for address 00a00045
# Found Invalid MESI state in Way: 5
# Updating for Way:           5 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 1
# Busop: READ, Address: 00a00045, Snoop Result: HITM
# L2: SENDLINE 00a00040
# Read request from L1 instruction cache, Address: 00c00046
# 
# Cache miss for address 00c00046
# Found Invalid MESI state in Way: 6
# Updating for Way:           6 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 0
# Busop: READ, Address: 00c00046, Snoop Result: NOHIT
# L2: SENDLINE 00c00040
# Read request from L1 instruction cache, Address: 00e00047
# 
# Cache miss for address 00e00047
# Found Invalid MESI state in Way: 7
# Updating for Way:           7 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 1
# Busop: READ, Address: 00e00047, Snoop Result: NOHIT
# L2: SENDLINE 00e00040
# Read request from L1 instruction cache, Address: 01000040
# 
# Cache miss for address 01000040
# Found Invalid MESI state in Way: 8
# Updating for Way:           8 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 0
# Busop: READ, Address: 01000040, Snoop Result: HIT
# L2: SENDLINE 01000040
# Read request from L1 instruction cache, Address: 01200041
# 
# Cache miss for address 01200041
# Found Invalid MESI state in Way: 9
# Updating for Way:           9 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 1
# Busop: READ, Address: 01200041, Snoop Result: HITM
# L2: SENDLINE 01200040
# Read request from L1 instruction cache, Address: 01400042
# 
# Cache miss for address 01400042
# Found Invalid MESI state in Way: 10
# Updating for Way:          10 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 1
# PLRU BitUpdated PLRU[         12] = 0
# Busop: READ, Address: 01400042, Snoop Result: NOHIT
# L2: SENDLINE 01400040
# Read request from L1 instruction cache, Address: 01600043
# 
# Cache miss for address 01600043
# Found Invalid MESI state in Way: 11
# Updating for Way:          11 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 1
# PLRU BitUpdated PLRU[         12] = 1
# Busop: READ, Address: 01600043, Snoop Result: NOHIT
# L2: SENDLINE 01600040
# Read request from L1 instruction cache, Address: 01800044
# 
# Cache miss for address 01800044
# Found Invalid MESI state in Way: 12
# Updating for Way:          12 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 0
# PLRU BitUpdated PLRU[         13] = 0
# Busop: READ, Address: 01800044, Snoop Result: HIT
# L2: SENDLINE 01800040
# Read request from L1 instruction cache, Address: 01a00045
# 
# Cache miss for address 01a00045
# Found Invalid MESI state in Way: 13
# Updating for Way:          13 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 0
# PLRU BitUpdated PLRU[         13] = 1
# Busop: READ, Address: 01a00045, Snoop Result: HITM
# L2: SENDLINE 01a00040
# Read request from L1 instruction cache, Address: 01c00046
# 
# Cache miss for address 01c00046
# Found Invalid MESI state in Way: 14
# Updating for Way:          14 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 1
# PLRU BitUpdated PLRU[         14] = 0
# Busop: READ, Address: 01c00046, Snoop Result: NOHIT
# L2: SENDLINE 01c00040
# Read request from L1 instruction cache, Address: 01e00047
# 
# Cache miss for address 01e00047
# Found Invalid MESI state in Way: 15
# Updating for Way:          15 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 1
# PLRU BitUpdated PLRU[         14] = 1
# Busop: READ, Address: 01e00047, Snoop Result: NOHIT
# L2: SENDLINE 01e00040
# Set: 1, Way: 0, MESI: S, Tag: 000
# Set: 1, Way: 1, MESI: S, Tag: 002
# Set: 1, Way: 2, MESI: E, Tag: 004
# Set: 1, Way: 3, MESI: E, Tag: 006
# Set: 1, Way: 4, MESI: S, Tag: 008
# Set: 1, Way: 5, MESI: S, Tag: 00a
# Set: 1, Way: 6, MESI: E, Tag: 00c
# Set: 1, Way: 7, MESI: E, Tag: 00e
# Set: 1, Way: 8, MESI: S, Tag: 010
# Set: 1, Way: 9, MESI: S, Tag: 012
# Set: 1, Way: 10, MESI: E, Tag: 014
# Set: 1, Way: 11, MESI: E, Tag: 016
# Set: 1, Way: 12, MESI: S, Tag: 018
# Set: 1, Way: 13, MESI: S, Tag: 01a
# Set: 1, Way: 14, MESI: E, Tag: 01c
# Set: 1, Way: 15, MESI: E, Tag: 01e
# No. of cache reads = 16
# No. of cache writes = 0
# No. of cache hits = 0
# No. of cache misses = 16
# Cache hit ratio = 0.000000 
# Cache hit ratio = 0.000000 
