vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t2.din
# Cache hit is  = 0, cache_misses is = 5, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 4
# Busop: READ, Address: 00800004, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           4 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00800000
# Read request from L1 data cache, Address: 00a00005 
# 
# Cache miss for address 00a00005
# Cache hit is  = 0, cache_misses is = 6, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 5
# Busop: READ, Address: 00a00005, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:           5 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00a00000
# Read request from L1 data cache, Address: 00c00006 
# 
# Cache miss for address 00c00006
# Cache hit is  = 0, cache_misses is = 7, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 6
# Busop: READ, Address: 00c00006, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           6 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00c00000
# Read request from L1 data cache, Address: 00e00007 
# 
# Cache miss for address 00e00007
# Cache hit is  = 0, cache_misses is = 8, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 7
# Busop: READ, Address: 00e00007, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           7 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00e00000
# Read request from L1 data cache, Address: 01000000 
# 
# Cache miss for address 01000000
# Cache hit is  = 0, cache_misses is = 9, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 8
# Busop: READ, Address: 01000000, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           8 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01000000
# Read request from L1 data cache, Address: 01200001 
# 
# Cache miss for address 01200001
# Cache hit is  = 0, cache_misses is = a, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 9
# Busop: READ, Address: 01200001, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:           9 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01200000
# Read request from L1 data cache, Address: 01400002 
# 
# Cache miss for address 01400002
# Cache hit is  = 0, cache_misses is = b, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 10
# Busop: READ, Address: 01400002, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          10 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 1
# PLRU BitUpdated PLRU[         12] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01400000
# Read request from L1 data cache, Address: 01600003 
# 
# Cache miss for address 01600003
# Cache hit is  = 0, cache_misses is = c, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 11
# Busop: READ, Address: 01600003, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          11 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 1
# PLRU BitUpdated PLRU[         12] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01600000
# Read request from L1 data cache, Address: 01800004 
# 
# Cache miss for address 01800004
# Cache hit is  = 0, cache_misses is = d, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 12
# Busop: READ, Address: 01800004, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          12 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 0
# PLRU BitUpdated PLRU[         13] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01800000
# Read request from L1 data cache, Address: 01a00005 
# 
# Cache miss for address 01a00005
# Cache hit is  = 0, cache_misses is = e, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 13
# Busop: READ, Address: 01a00005, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:          13 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 0
# PLRU BitUpdated PLRU[         13] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01a00000
# Read request from L1 data cache, Address: 01c00006 
# 
# Cache miss for address 01c00006
# Cache hit is  = 0, cache_misses is = f, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 14
# Busop: READ, Address: 01c00006, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          14 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 1
# PLRU BitUpdated PLRU[         14] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01c00000
# Read request from L1 data cache, Address: 01e00007 
# 
# Cache miss for address 01e00007
# Cache hit is  = 0, cache_misses is = 10, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 15
# Busop: READ, Address: 01e00007, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          15 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 1
# PLRU BitUpdated PLRU[         14] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01e00000
# Set: 0, Way: 0, MESI: S, Tag: 000
# Set: 0, Way: 1, MESI: S, Tag: 002
# Set: 0, Way: 2, MESI: E, Tag: 004
# Set: 0, Way: 3, MESI: E, Tag: 006
# Set: 0, Way: 4, MESI: S, Tag: 008
# Set: 0, Way: 5, MESI: S, Tag: 00a
# Set: 0, Way: 6, MESI: E, Tag: 00c
# Set: 0, Way: 7, MESI: E, Tag: 00e
# Set: 0, Way: 8, MESI: S, Tag: 010
# Set: 0, Way: 9, MESI: S, Tag: 012
# Set: 0, Way: 10, MESI: E, Tag: 014
# Set: 0, Way: 11, MESI: E, Tag: 016
# Set: 0, Way: 12, MESI: S, Tag: 018
# Set: 0, Way: 13, MESI: S, Tag: 01a
# Set: 0, Way: 14, MESI: E, Tag: 01c
# Set: 0, Way: 15, MESI: E, Tag: 01e
# No. of cache reads = 16
# No. of cache writes = 0
# No. of cache hits = 0
# No. of cache misses = 16
# Cache hit ratio = 0.000000 
# Cache hit ratio = 0.000000 
